emirate_id,location,Geo_coordinates
Dubai,Jumeirah Beach Road,
Dubai,Jumeirah Lake Towers,
Dubai,Karama,"25.24509,55.30611"
Dubai,"Lamcy Plaza, Karama",
Dubai,"Madina Mall, Ghusais",
Dubai,Madinat Jumeirah,
Dubai,Mall of the Emirates,
Dubai,Mankhool,"25.252529,55.288205"
Dubai,Mazaya Centre,
Dubai,Meadows Village,
Dubai,Media City,
Dubai,Media City Sofouh,
Dubai,Mega Mall,
Dubai,Mercato Mall,
Dubai,Meridien Village,
Dubai,Mina Road,
Dubai,Mirdif City Centre,
Dubai,Motor City - Dubailand,
Dubai,Movenpick Hotel Deira,
Dubai,Murshid Bazaar,
Dubai,Naif,
Dubai,"Naif, Deira",
Dubai,Near Clock Tower (Opposite Nihal Hotel),
Dubai,"Oasis Centre, Shaikh Zayed Road",
Dubai,Off Shaikh Zayed Road,
Dubai,Oud Metha,
Dubai,Oud Metha Area,
Dubai,Palm Jumeirah,
Dubai,Palm Jumeirah - Jumeirah,
Dubai,Port Saeed,
Dubai,Reef Mall,
Dubai,Al Satwa,"25.24029017617004,55.27504920959473"
Dubai,Shaikh Zayed Road,
Dubai,Sheikh Mohammad Bin Zayed Road,
Dubai,Sheikh Zayed Road,
Dubai,Sky Garden,
Dubai,Skygarden,"25.249237,55.301503"
Dubai,Souk Al Bahar,
Dubai,Sunset Mall,
Dubai,Tecom,
Dubai,The Dubai Mall Metrolink,
Dubai,"The Dubai Mall, Downtown Dubai",
Dubai,The Palm Jumeirah,
Dubai,Times Square Center,
Dubai,Trade Centre Road,
Dubai,Umm Suqueim,
Dubai,Umm Suqueim 2,
Dubai,Uptown Mirdif,
Dubai,"Wafi City, Oud Metha","55.3181500,25.2287900"
Dubai,Wafi Mall,
Dubai,World Trade Centre,"25.228431,55.2885"
Northern Emirates,Ajman,
Northern Emirates,Ajman City Centre,
Northern Emirates,Al Faisal Street,
Northern Emirates,Al Muntasir Road,
Northern Emirates,Dibba Road,"25.30.33.34,56.21.49.46"
Northern Emirates,Fujairah,
Northern Emirates,Fujairah City Centre,"25.126345,56.302053"
Northern Emirates,"Hamdan Centre, Al Fajer 3",
Northern Emirates,Jazeera Al Hamra,
Northern Emirates,Khorfakkan,
Northern Emirates,Muntasser Street,
Northern Emirates,Nuamiya,
Northern Emirates,Ras Al Khaimah,
Northern Emirates,Ras Al Khaimah 1,
Northern Emirates,Ras Al Khaimah 2,
Northern Emirates,Safeer Mall,"25.749053,55.925106"
Northern Emirates,"Safeer Mall, Ajman","25.390484,55.445034"
Northern Emirates,Sh. Humaid Bin Rashid Al Nuaimi Street,
Northern Emirates,Shaikh Khalifa Bin Zayed Street,
Northern Emirates,Umm Al Quwain,
Sharjah,Al Fardan Centre,
Sharjah,Al Khan,"25.341389,55.363956"
Sharjah,Al Majaz,
Sharjah,Al Qassimiya,"25.33858,55.413813"
Sharjah,Al Rolla,
Sharjah,Al Wahda Street,
Sharjah,Buhaira Corniche,
Sharjah,Emax Big Box,"25.347129,55.394332"
Sharjah,"Ghubaiba, University Road","25.346010,55.412585"
Sharjah,Jamal Abdul Nasser St.,
Sharjah,King Faisal Road,
Sharjah,King Faisal Street,
Sharjah,Matajer Al Goze,
Sharjah,Matajer Al Juraina,
Sharjah,Matajer Al Mirgab,
Sharjah,Rolla,
Sharjah,Rolla Park,
Sharjah,Sahara Centre,
Sharjah,Sharjah City Centre,"25.325602,55.393535"
Sharjah,Sharjah Mega Mall,
Sharjah,Sharjah Others,
